date,start_t,end_t
2019-03-15,2019-03-15T17:30:00Z,2019-03-15T23:30:00Z
2019-05-10,2019-05-10T08:21:00Z,2019-05-10T11:30:00Z
2019-05-28,2019-05-28T08:13:00Z,2019-05-28T12:00:00Z
2019-06-05,2019-06-05T20:43:00Z,2019-06-06T02:06:00Z
2019-06-15,2019-06-15T02:28:00Z,2019-06-15T07:16:00Z
2019-08-18,2019-08-18T08:35:00Z,2019-08-18T17:41:00Z
2019-09-28,2019-09-28T15:12:00Z,2019-09-28T19:18:00Z
2019-09-29,2019-09-29T09:56:00Z,2019-09-29T22:24:00Z
2019-10-01,2019-10-01T06:52:00Z,2019-10-01T23:54:00Z
2019-10-20,2019-10-20T10:45:00Z,2019-10-20T15:51:00Z
2020-02-23,2020-02-23T15:41:00Z,2020-02-23T19:53:00Z
2020-06-17,2020-06-17T16:20:00Z,2020-06-17T19:56:00Z
2020-06-26,2020-06-26T17:18:00Z,2020-06-26T19:42:00Z
2020-07-01,2020-07-01T01:15:00Z,2020-07-01T06:30:00Z
2020-08-11,2020-08-11T21:44:00Z,2020-08-12T01:30:00Z
2020-08-12,2020-08-12T14:43:00Z,2020-08-12T18:07:00Z
2020-08-16,2020-08-16T14:02:00Z,2020-08-16T19:12:00Z
2020-08-30,2020-08-30T15:06:00Z,2020-08-30T17:32:00Z
2020-09-23,2020-09-23T22:14:00Z,2020-09-24T02:56:00Z
2020-09-26,2020-09-26T19:40:00Z,2020-09-27T06:46:00Z
2020-09-28,2020-09-28T11:39:00Z,2020-09-28T17:17:00Z
2020-10-03,2020-10-03T09:49:00Z,2020-10-03T14:55:00Z
2020-10-08,2020-10-08T18:04:00Z,2020-10-08T23:10:00Z
2020-10-22,2020-10-22T14:06:00Z,2020-10-22T18:08:00Z
2020-11-15,2020-11-15T16:10:00Z,2020-11-15T20:52:00Z
